elapsed_time,power,smooth_power
0 days 00:06:17,251.0,259.0
0 days 00:06:18,277.0,262.46666666666664
0 days 00:06:19,333.0,268.7
0 days 00:06:20,364.0,272.6666666666667
0 days 00:06:21,424.0,278.23333333333335
0 days 00:06:22,475.0,275.96666666666664
0 days 00:06:23,446.0,278.76666666666665
0 days 00:06:24,420.0,279.9
0 days 00:06:25,346.0,272.8
0 days 00:06:26,214.0,264.1666666666667
0 days 00:06:27,36.0,253.7
0 days 00:06:28,36.0,241.1
0 days 00:06:29,118.0,231.43333333333334
0 days 00:06:30,234.0,219.0
0 days 00:06:31,253.0,204.66666666666666
0 days 00:06:32,210.0,193.7
0 days 00:06:33,292.0,185.33333333333334
0 days 00:06:34,268.0,176.1
0 days 00:06:35,228.0,171.76666666666668
0 days 00:06:36,86.0,165.63333333333333
0 days 00:06:37,232.0,155.13333333333333
0 days 00:06:38,188.0,142.93333333333334
0 days 00:06:39,40.0,131.7
0 days 00:06:40,40.0,117.7
0 days 00:06:41,0.0,106.16666666666667
0 days 00:06:42,0.0,99.03333333333333
0 days 00:06:43,0.0,98.1
0 days 00:06:44,0.0,102.9
0 days 00:06:45,0.0,111.73333333333333
0 days 00:06:46,0.0,113.43333333333334
0 days 00:06:47,0.0,106.36666666666666
0 days 00:06:48,0.0,100.6
0 days 00:06:49,203.0,91.26666666666667
0 days 00:06:50,180.0,82.73333333333333
0 days 00:06:51,109.0,75.26666666666667
0 days 00:06:52,109.0,72.4
0 days 00:06:53,109.0,64.66666666666667
0 days 00:06:54,0.0,58.4
0 days 00:06:55,0.0,57.06666666666667
0 days 00:06:56,0.0,55.733333333333334
0 days 00:06:57,8.0,55.733333333333334
0 days 00:06:58,180.0,55.733333333333334
0 days 00:06:59,383.0,69.63333333333334
0 days 00:07:00,285.0,86.8
0 days 00:07:01,41.0,104.26666666666667
0 days 00:07:02,37.0,120.13333333333334
0 days 00:07:03,12.0,131.93333333333334
0 days 00:07:04,12.0,144.0
0 days 00:07:05,4.0,149.43333333333334
0 days 00:07:06,0.0,156.83333333333334
0 days 00:07:07,0.0,165.5
0 days 00:07:08,0.0,169.7
0 days 00:07:09,0.0,174.83333333333334
0 days 00:07:10,0.0,183.76666666666668
0 days 00:07:11,0.0,193.43333333333334
0 days 00:07:12,0.0,205.43333333333334
0 days 00:07:13,417.0,217.36666666666667
0 days 00:07:14,515.0,219.13333333333333
0 days 00:07:15,524.0,212.6
0 days 00:07:16,476.0,208.2
0 days 00:07:17,354.0,213.13333333333333
0 days 00:07:18,362.0,217.6
0 days 00:07:19,366.0,223.43333333333334
0 days 00:07:20,402.0,230.63333333333333
0 days 00:07:21,369.0,238.6
0 days 00:07:22,235.0,248.06666666666666
0 days 00:07:23,263.0,258.8333333333333
0 days 00:07:24,268.0,267.93333333333334
0 days 00:07:25,290.0,273.76666666666665
0 days 00:07:26,360.0,279.8
0 days 00:07:27,366.0,286.0
0 days 00:07:28,233.0,292.2
0 days 00:07:29,187.0,278.3
0 days 00:07:30,153.0,261.1333333333333
0 days 00:07:31,189.0,243.66666666666666
0 days 00:07:32,171.0,232.4
0 days 00:07:33,187.0,224.16666666666666
0 days 00:07:34,228.0,214.46666666666667
0 days 00:07:35,243.0,209.36666666666667
0 days 00:07:36,284.0,206.8
0 days 00:07:37,323.0,210.26666666666668
0 days 00:07:38,273.0,217.5
0 days 00:07:39,175.0,225.43333333333334
0 days 00:07:40,181.0,228.6
0 days 00:07:41,186.0,228.23333333333332
0 days 00:07:42,186.0,225.4
0 days 00:07:43,0.0,221.06666666666666
0 days 00:07:44,0.0,227.53333333333333
0 days 00:07:45,0.0,237.56666666666666
0 days 00:07:46,138.0,247.93333333333334
0 days 00:07:47,107.0,259.0
0 days 00:07:48,71.0,269.93333333333334
0 days 00:07:49,213.0,278.43333333333334
0 days 00:07:50,325.0,286.3333333333333
0 days 00:07:51,473.0,293.6333333333333
0 days 00:07:52,452.0,297.76666666666665
0 days 00:07:53,501.0,301.93333333333334
0 days 00:07:54,363.0,307.4
0 days 00:07:55,279.0,317.93333333333334
0 days 00:07:56,275.0,325.26666666666665
0 days 00:07:57,236.0,328.73333333333335
0 days 00:07:58,427.0,334.06666666666666
0 days 00:07:59,488.0,345.96666666666664
0 days 00:08:00,464.0,355.46666666666664
